PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"4633241","Effects of selective prefrontal decortication on escape behavior in the monkey","Tanaka D Jr.","Brain Res. 1973 Apr 13;53(1):161-73. doi: 10.1016/0006-8993(73)90775-0.","Tanaka D Jr","Brain Res","1973","1973/04/13","","","10.1016/0006-8993(73)90775-0"
"7715788","Afferent connections of the caudolateral orbitofrontal cortex taste area of the primate","Baylis LL, Rolls ET, Baylis GC.","Neuroscience. 1995 Feb;64(3):801-12. doi: 10.1016/0306-4522(94)00449-f.","Baylis LL","Neuroscience","1995","1995/02/01","","","10.1016/0306-4522(94)00449-f"
"6483193","Retinal ganglion cells that project to the dorsal lateral geniculate nucleus in the macaque monkey","Perry VH, Oehler R, Cowey A.","Neuroscience. 1984 Aug;12(4):1101-23. doi: 10.1016/0306-4522(84)90006-x.","Perry VH","Neuroscience","1984","1984/08/01","","","10.1016/0306-4522(84)90006-x"
"20635","Ferrier lecture. Functional architecture of macaque monkey visual cortex","Hubel DH, Wiesel TN.","Proc R Soc Lond B Biol Sci. 1977 Jul 28;198(1130):1-59. doi: 10.1098/rspb.1977.0085.","Hubel DH","Proc R Soc Lond B Biol Sci","1977","1977/07/28","","","10.1098/rspb.1977.0085"
"35416933","Non-cardinal color mechanism elicitation by stimulus shape: Bringing the S versus L+M color plane to the table","Gunther KL.","J Vis. 2022 Apr 6;22(5):5. doi: 10.1167/jov.22.5.5.","Gunther KL","J Vis","2022","2022/04/13","PMC9012893","","10.1167/jov.22.5.5"
"412563","Pulvinar lesions in monkeys produce abnormal eye movements during visual discrimination training","Ungerleider LG, Christensen CA.","Brain Res. 1977 Nov 4;136(1):189-96. doi: 10.1016/0006-8993(77)90146-9.","Ungerleider LG","Brain Res","1977","1977/11/04","","","10.1016/0006-8993(77)90146-9"
"86423","Topography and intracranial sources of somatosensory evoked potentials in the monkey. I. Early components","Arezzo J, Legatt AD, Vaughan HG Jr.","Electroencephalogr Clin Neurophysiol. 1979 Feb;46(2):155-72. doi: 10.1016/0013-4694(79)90065-8.","Arezzo J","Electroencephalogr Clin Neurophysiol","1979","1979/02/01","","","10.1016/0013-4694(79)90065-8"
"15306630","Comparison of oculomotor neuronal activity in paralaminar and mediodorsal thalamus in the rhesus monkey","Tanibuchi I, Goldman-Rakic PS.","J Neurophysiol. 2005 Jan;93(1):614-9. doi: 10.1152/jn.00969.2003. Epub 2004 Aug 11.","Tanibuchi I","J Neurophysiol","2005","2004/08/13","","","10.1152/jn.00969.2003"
"14203683","RESPONSES OF SINGLE CELLS IN VISUAL SYSTEM TO SHIFTS IN THE WAVELENGTH OF LIGHT","DEVALOIS RL, JACOBS GH, ABRAMOV I.","Science. 1964 Nov 27;146(3648):1184-6. doi: 10.1126/science.146.3648.1184.","DEVALOIS RL","Science","1964","1964/11/27","","","10.1126/science.146.3648.1184"
"24103357","Tristetraprolin expression and microRNA-mediated regulation during simian immunodeficiency virus infection of the central nervous system","Liu J, Sisk JM, Gama L, Clements JE, Witwer KW.","Mol Brain. 2013 Sep 2;6:40. doi: 10.1186/1756-6606-6-40.","Liu J","Mol Brain","2013","2013/10/10","PMC3766027","","10.1186/1756-6606-6-40"
"2744120","Projection patterns of surviving neurons in the dorsal lateral geniculate nucleus following discrete lesions of striate cortex: implications for residual vision","Cowey A, Stoerig P.","Exp Brain Res. 1989;75(3):631-8. doi: 10.1007/BF00249914.","Cowey A","Exp Brain Res","1989","1989/01/01","","","10.1007/BF00249914"
"14715957","Widespread thalamic terminations of fibers arising in the superficial medullary dorsal horn of monkeys and their relation to calbindin immunoreactivity","Graziano A, Jones EG.","J Neurosci. 2004 Jan 7;24(1):248-56. doi: 10.1523/JNEUROSCI.4122-03.2004.","Graziano A","J Neurosci","2004","2004/01/13","PMC6729588","","10.1523/JNEUROSCI.4122-03.2004"
"8622768","Localization of dopamine D4 receptors in GABAergic neurons of the primate brain","Mrzljak L, Bergson C, Pappy M, Huff R, Levenson R, Goldman-Rakic PS.","Nature. 1996 May 16;381(6579):245-8. doi: 10.1038/381245a0.","Mrzljak L","Nature","1996","1996/05/16","","","10.1038/381245a0"
"3380804","Background light and the contrast gain of primate P and M retinal ganglion cells","Purpura K, Kaplan E, Shapley RM.","Proc Natl Acad Sci U S A. 1988 Jun;85(12):4534-7. doi: 10.1073/pnas.85.12.4534.","Purpura K","Proc Natl Acad Sci U S A","1988","1988/06/01","PMC280465","","10.1073/pnas.85.12.4534"
"803266","Histological observations in the normal monkey lateral geniculate nucleus","von Noorden GK, Middleditch PR.","Invest Ophthalmol. 1975 Jan;14(1):55-8.","von Noorden GK","Invest Ophthalmol","1975","1975/01/01","","",""
"8169578","Neurology and neuropathology of Soman-induced brain injury: an overview","Petras JM.","J Exp Anal Behav. 1994 Mar;61(2):319-29. doi: 10.1901/jeab.1994.61-319.","Petras JM","J Exp Anal Behav","1994","1994/03/01","PMC1334419","","10.1901/jeab.1994.61-319"
"19085970","Paraventricular thalamic nucleus: subcortical connections and innervation by serotonin, orexin, and corticotropin-releasing hormone in macaque monkeys","Hsu DT, Price JL.","J Comp Neurol. 2009 Feb 20;512(6):825-48. doi: 10.1002/cne.21934.","Hsu DT","J Comp Neurol","2009","2008/12/17","PMC2646254","NIHMS83903","10.1002/cne.21934"
"18718342","Exploring the pulvinar path to visual cortex","Berman RA, Wurtz RH.","Prog Brain Res. 2008;171:467-73. doi: 10.1016/S0079-6123(08)00668-7.","Berman RA","Prog Brain Res","2008","2008/08/23","PMC2802535","NIHMS165292","10.1016/S0079-6123(08)00668-7"
"4207724","Single cell activity in the ventral lateral thalamus of the unanesthetized monkey","Joffroy AJ, Lamarre Y.","Exp Neurol. 1974 Jan;42(1):1-16. doi: 10.1016/0014-4886(74)90002-8.","Joffroy AJ","Exp Neurol","1974","1974/01/01","","","10.1016/0014-4886(74)90002-8"
"31941665","Differential Roles of Mediodorsal Nucleus of the Thalamus and Prefrontal Cortex in Decision-Making and State Representation in a Cognitive Control Task Measuring Deficits in Schizophrenia","DeNicola AL, Park MY, Crowe DA, MacDonald AW 3rd, Chafee MV.","J Neurosci. 2020 Feb 19;40(8):1650-1667. doi: 10.1523/JNEUROSCI.1703-19.2020. Epub 2020 Jan 15.","DeNicola AL","J Neurosci","2020","2020/01/17","PMC7046322","","10.1523/JNEUROSCI.1703-19.2020"
"6839157","The organization of connections between the pulvinar and visual area MT in the macaque monkey","Standage GP, Benevento LA.","Brain Res. 1983 Mar 7;262(2):288-94. doi: 10.1016/0006-8993(83)91020-x.","Standage GP","Brain Res","1983","1983/03/07","","","10.1016/0006-8993(83)91020-x"
"9804550","Thalamic and brainstem contributions to large-scale plasticity of primate somatosensory cortex","Jones EG, Pons TP.","Science. 1998 Nov 6;282(5391):1121-5. doi: 10.1126/science.282.5391.1121.","Jones EG","Science","1998","1998/11/06","","","10.1126/science.282.5391.1121"
"25260702","Effects of Separate or Combined Neonatal Damage to the Orbital Frontal Cortex and the Inferior Convexity on Object Recognition in Monkeys","Malkova L, Alvarado MC, Bachevalier J.","Cereb Cortex. 2016 Feb;26(2):618-27. doi: 10.1093/cercor/bhu227. Epub 2014 Sep 26.","Malkova L","Cereb Cortex","2016","2014/09/28","PMC4712798","","10.1093/cercor/bhu227"
"8281307","Interaction of the amygdala with the frontal lobe in reward memory","Gaffan D, Murray EA, Fabre-Thorpe M.","Eur J Neurosci. 1993 Jul 1;5(7):968-75. doi: 10.1111/j.1460-9568.1993.tb00948.x.","Gaffan D","Eur J Neurosci","1993","1993/07/01","","","10.1111/j.1460-9568.1993.tb00948.x"
"3973091","Anatomical evidence for medial pulvinar connections with the posterior cingulate cortex, the retrosplenial area, and the posterior parahippocampal gyrus in monkeys","Baleydier C, Mauguiere F.","J Comp Neurol. 1985 Feb 8;232(2):219-28. doi: 10.1002/cne.902320207.","Baleydier C","J Comp Neurol","1985","1985/02/08","","","10.1002/cne.902320207"
"3367212","Functional anatomy of macaque striate cortex. IV. Contrast and magno-parvo streams","Tootell RB, Hamilton SL, Switkes E.","J Neurosci. 1988 May;8(5):1594-609. doi: 10.1523/JNEUROSCI.08-05-01594.1988.","Tootell RB","J Neurosci","1988","1988/05/01","PMC6569196","","10.1523/JNEUROSCI.08-05-01594.1988"
"6387531","Localization of nigrostriatal, nigrothalamic and nigrotectal neurons in ventricular coordinates in macaques","Francois C, Percheron G, Yelnik J.","Neuroscience. 1984 Sep;13(1):61-76. doi: 10.1016/0306-4522(84)90259-8.","Francois C","Neuroscience","1984","1984/09/01","","","10.1016/0306-4522(84)90259-8"
"34153356","Neural Mechanism of Blindsight in a Macaque Model","Isa T, Yoshida M.","Neuroscience. 2021 Aug 10;469:138-161. doi: 10.1016/j.neuroscience.2021.06.022. Epub 2021 Jun 19.","Isa T","Neuroscience","2021","2021/06/21","","","10.1016/j.neuroscience.2021.06.022"
"8122115","Global form and singularity: modeling the blind spot's role in lateral geniculate morphogenesis","Lee D, Malpeli JG.","Science. 1994 Mar 4;263(5151):1292-4. doi: 10.1126/science.8122115.","Lee D","Science","1994","1994/03/04","","","10.1126/science.8122115"
"6769540","Focal projection of electrophysiologically defined groupings of thalamic cells on the monkey somatic sensory cortex","Friedman DP, Jones EG.","Brain Res. 1980 Jun 2;191(1):249-52. doi: 10.1016/0006-8993(80)90328-5.","Friedman DP","Brain Res","1980","1980/06/02","","","10.1016/0006-8993(80)90328-5"
"2574426","Quantitative immunogold analysis reveals high glutamate levels in retinal and cortical synaptic terminals in the lateral geniculate nucleus of the macaque","Montero VM, Wenthold RJ.","Neuroscience. 1989;31(3):639-47. doi: 10.1016/0306-4522(89)90429-6.","Montero VM","Neuroscience","1989","1989/01/01","","","10.1016/0306-4522(89)90429-6"
"2465325","Anatomic connections of inferior parietal cortex (area 7) with subcortical structures related to vestibulo-ocular function in a monkey (Macaca fascicularis)","Faugier-Grimaud S, Ventre J.","J Comp Neurol. 1989 Feb 1;280(1):1-14. doi: 10.1002/cne.902800102.","Faugier-Grimaud S","J Comp Neurol","1989","1989/02/01","","","10.1002/cne.902800102"
"3367211","Functional anatomy of macaque striate cortex. III. Color","Tootell RB, Silverman MS, Hamilton SL, De Valois RL, Switkes E.","J Neurosci. 1988 May;8(5):1569-93. doi: 10.1523/JNEUROSCI.08-05-01569.1988.","Tootell RB","J Neurosci","1988","1988/05/01","PMC6569202","","10.1523/JNEUROSCI.08-05-01569.1988"
"20367078","Cannula placement for effective convection-enhanced delivery in the nonhuman primate thalamus and brainstem: implications for clinical delivery of therapeutics","Yin D, Richardson RM, Fiandaca MS, Bringas J, Forsayeth J, Berger MS, Bankiewicz KS.","J Neurosurg. 2010 Aug;113(2):240-8. doi: 10.3171/2010.2.JNS091744.","Yin D","J Neurosurg","2010","2010/04/07","","","10.3171/2010.2.JNS091744"
"2010820","The effects of parvocellular lateral geniculate lesions on the acuity and contrast sensitivity of macaque monkeys","Merigan WH, Katz LM, Maunsell JH.","J Neurosci. 1991 Apr;11(4):994-1001. doi: 10.1523/JNEUROSCI.11-04-00994.1991.","Merigan WH","J Neurosci","1991","1991/04/01","PMC6575382","","10.1523/JNEUROSCI.11-04-00994.1991"
"15140911","Neuronal activity throughout the primate mediodorsal nucleus of the thalamus during oculomotor delayed-responses. I. Cue-, delay-, and response-period activity","Watanabe Y, Funahashi S.","J Neurophysiol. 2004 Sep;92(3):1738-55. doi: 10.1152/jn.00994.2003. Epub 2004 May 12.","Watanabe Y","J Neurophysiol","2004","2004/05/14","","","10.1152/jn.00994.2003"
"1629767","Visual and oculomotor functions of monkey subthalamic nucleus","Matsumura M, Kojima J, Gardiner TW, Hikosaka O.","J Neurophysiol. 1992 Jun;67(6):1615-32. doi: 10.1152/jn.1992.67.6.1615.","Matsumura M","J Neurophysiol","1992","1992/06/01","","","10.1152/jn.1992.67.6.1615"
"6315780","Columnar aggregation of prefrontal and anterior cingulate cortical cells projecting to the thalamic mediodorsal nucleus in the monkey","Arikuni T, Sakai M, Kubota K.","J Comp Neurol. 1983 Oct 10;220(1):116-25. doi: 10.1002/cne.902200111.","Arikuni T","J Comp Neurol","1983","1983/10/10","","","10.1002/cne.902200111"
"15140912","Neuronal activity throughout the primate mediodorsal nucleus of the thalamus during oculomotor delayed-responses. II. Activity encoding visual versus motor signal","Watanabe Y, Funahashi S.","J Neurophysiol. 2004 Sep;92(3):1756-69. doi: 10.1152/jn.00995.2003. Epub 2004 May 12.","Watanabe Y","J Neurophysiol","2004","2004/05/14","","","10.1152/jn.00995.2003"
"823182","Cortical and subcortical visual evoked potential correlates of reaction time in monkeys","Chalupa LM, Rohrbaugh JW, Gould JE, Lindsley DB.","J Comp Physiol Psychol. 1976 Jan;90(1):119-26. doi: 10.1037/h0077256.","Chalupa LM","J Comp Physiol Psychol","1976","1976/01/01","","","10.1037/h0077256"
"7470876","Influences of cerebellar hemispherectomy upon cortical potentials preceding visually initiated hand movements in the monkey","Sasaki K, Gemba H, Hashimoto S.","Brain Res. 1981 Feb 2;205(2):425-30. doi: 10.1016/0006-8993(81)90355-3.","Sasaki K","Brain Res","1981","1981/02/02","","","10.1016/0006-8993(81)90355-3"
"6245903","Peripheral input pathways to the monkey motor cortex","Asanuma H, Larsen K, Yumiya H.","Exp Brain Res. 1980 Feb;38(3):349-55. doi: 10.1007/BF00236655.","Asanuma H","Exp Brain Res","1980","1980/02/01","","","10.1007/BF00236655"
"99205","An autoradiographic analysis of the efferent connections from premotor and adjacent prefrontal regions (areas 6 and 9) in macaca fascicularis","Künzle H.","Brain Behav Evol. 1978;15(3):185-234. doi: 10.1159/000123779.","Künzle H","Brain Behav Evol","1978","1978/01/01","","","10.1159/000123779"
"4206749","Prefrontal lesions alter eating and hoarding behavior in rats","Kolb B.","Physiol Behav. 1974 Mar;12(3):507-11. doi: 10.1016/0031-9384(74)90130-9.","Kolb B","Physiol Behav","1974","1974/03/01","","","10.1016/0031-9384(74)90130-9"
"3549796","The afferent input to the magnocellular division of the mediodorsal thalamic nucleus in the monkey, Macaca fascicularis","Russchen FT, Amaral DG, Price JL.","J Comp Neurol. 1987 Feb 8;256(2):175-210. doi: 10.1002/cne.902560202.","Russchen FT","J Comp Neurol","1987","1987/02/08","","","10.1002/cne.902560202"
"3387448","Retinal afferent arborization patterns, dendritic field orientations, and the segregation of function in the lateral geniculate nucleus of the monkey","Michael CR.","Proc Natl Acad Sci U S A. 1988 Jul;85(13):4914-8. doi: 10.1073/pnas.85.13.4914.","Michael CR","Proc Natl Acad Sci U S A","1988","1988/07/01","PMC280548","","10.1073/pnas.85.13.4914"
"6481430","Experiments on functional role of peripheral input to motor cortex during voluntary movements in the monkey","Asanuma H, Arissian K.","J Neurophysiol. 1984 Aug;52(2):212-27. doi: 10.1152/jn.1984.52.2.212.","Asanuma H","J Neurophysiol","1984","1984/08/01","","","10.1152/jn.1984.52.2.212"
"80251","Differential laminar distribution of corticothalamic neurons projecting to the VL and the center median. An HRP study in the cynomolgus monkey","Catsman-Berrevoets CE, Kuypers HG.","Brain Res. 1978 Oct 13;154(2):359-65. doi: 10.1016/0006-8993(78)90706-0.","Catsman-Berrevoets CE","Brain Res","1978","1978/10/13","","","10.1016/0006-8993(78)90706-0"
"36068947","Multisensory integration in neurons of the medial pulvinar of macaque monkey","Vittek AL, Juan C, Nowak LG, Girard P, Cappe C.","Cereb Cortex. 2023 Apr 4;33(8):4202-4215. doi: 10.1093/cercor/bhac337.","Vittek AL","Cereb Cortex","2023","2022/09/07","PMC10110443","","10.1093/cercor/bhac337"
"4040731","Amnesia in monkeys after lesions of the mediodorsal nucleus of the thalamus","Zola-Morgan S, Squire LR.","Ann Neurol. 1985 Jun;17(6):558-64. doi: 10.1002/ana.410170605.","Zola-Morgan S","Ann Neurol","1985","1985/06/01","","","10.1002/ana.410170605"
"4123503","Pretectal region and the pupillary light reflex. An anatomical analysis in the monkey","Carpenter MB, Pierson RJ.","J Comp Neurol. 1973 Jun 1;149(3):271-300. doi: 10.1002/cne.901490302.","Carpenter MB","J Comp Neurol","1973","1973/06/01","","","10.1002/cne.901490302"
"99206","Prenatal removal of frontal association cortex in the fetal rhesus monkey: anatomical and functional consequences in postnatal life","Goldman PS, Galkin TW.","Brain Res. 1978 Sep 8;152(3):451-85. doi: 10.1016/0006-8993(78)91103-4.","Goldman PS","Brain Res","1978","1978/09/08","","","10.1016/0006-8993(78)91103-4"
"6772692","The pregeniculate nucleus of the monkey (Macaca mulatta). I. A study at the light microscopy level","Babb RS.","J Comp Neurol. 1980 Apr 15;190(4):651-72. doi: 10.1002/cne.901900404.","Babb RS","J Comp Neurol","1980","1980/04/15","","","10.1002/cne.901900404"
"6768425","Cortical and subcortical afferents to the amygdala of the rhesus monkey (Macaca mulatta)","Aggleton JP, Burton MJ, Passingham RE.","Brain Res. 1980 May 26;190(2):347-68. doi: 10.1016/0006-8993(80)90279-6.","Aggleton JP","Brain Res","1980","1980/05/26","","","10.1016/0006-8993(80)90279-6"
"415894","Intensity coding in primate visual system","Barlow RB, Snodderly DM, Swadlow HA.","Exp Brain Res. 1978 Feb 15;31(2):163-77. doi: 10.1007/BF00237597.","Barlow RB","Exp Brain Res","1978","1978/02/15","","","10.1007/BF00237597"
"2769340","Responses of monkey medullary dorsal horn neurons during the detection of noxious heat stimuli","Maixner W, Dubner R, Kenshalo DR Jr, Bushnell MC, Oliveras JL.","J Neurophysiol. 1989 Aug;62(2):437-49. doi: 10.1152/jn.1989.62.2.437.","Maixner W","J Neurophysiol","1989","1989/08/01","","","10.1152/jn.1989.62.2.437"
"19465740","Cerebellar inputs to intraparietal cortex areas LIP and MIP: functional frameworks for adaptive control of eye movements, reaching, and arm/eye/head movement coordination","Prevosto V, Graf W, Ugolini G.","Cereb Cortex. 2010 Jan;20(1):214-28. doi: 10.1093/cercor/bhp091.","Prevosto V","Cereb Cortex","2010","2009/05/26","PMC2860711","","10.1093/cercor/bhp091"
"1922765","Distribution and density of GABA cells in intralaminar and adjacent nuclei of monkey thalamus","Hunt CA, Pang DZ, Jones EG.","Neuroscience. 1991;43(1):185-96. doi: 10.1016/0306-4522(91)90426-o.","Hunt CA","Neuroscience","1991","1991/01/01","","","10.1016/0306-4522(91)90426-o"
"7542290","Organization of thalamic projections to the ventral striatum in the primate","Giménez-Amaya JM, McFarland NR, de las Heras S, Haber SN.","J Comp Neurol. 1995 Mar 27;354(1):127-49. doi: 10.1002/cne.903540109.","Giménez-Amaya JM","J Comp Neurol","1995","1995/03/27","","","10.1002/cne.903540109"
"3758268","Neural correlates of isometric force in the ""motor"" thalamus","Anner-Baratti R, Allum JH, Hepp-Reymond MC.","Exp Brain Res. 1986;63(3):567-80. doi: 10.1007/BF00237479.","Anner-Baratti R","Exp Brain Res","1986","1986/01/01","","","10.1007/BF00237479"
"2808770","Arborisation pattern and postsynaptic targets of physiologically identified thalamocortical afferents in striate cortex of the macaque monkey","Freund TF, Martin KA, Soltesz I, Somogyi P, Whitteridge D.","J Comp Neurol. 1989 Nov 8;289(2):315-36. doi: 10.1002/cne.902890211.","Freund TF","J Comp Neurol","1989","1989/11/08","","","10.1002/cne.902890211"
"2713694","Does the pulvinar-LP complex contribute to motor programming?","Cudeiro J, González F, Pérez R, Alonso JM, Acuña C.","Brain Res. 1989 Apr 10;484(1-2):367-70. doi: 10.1016/0006-8993(89)90383-1.","Cudeiro J","Brain Res","1989","1989/04/10","","","10.1016/0006-8993(89)90383-1"
"7860777","Analysis of gamma-aminobutyric acidergic synaptic contacts in the thalamic reticular nucleus of the monkey","Williamson AM, Ohara PT, Ralston DD, Milroy AM, Ralston HJ 3rd.","J Comp Neurol. 1994 Nov 8;349(2):182-92. doi: 10.1002/cne.903490203.","Williamson AM","J Comp Neurol","1994","1994/11/08","","","10.1002/cne.903490203"
"6517653","Specific and non-specific inhibition induced by LP-pulvinar inputs to area 7 of the rhesus monkey","Blum B.","Arch Ital Biol. 1984 Sep;122(3):237-48.","Blum B","Arch Ital Biol","1984","1984/09/01","","",""
"28117340","Superior colliculus neurons encode a visual saliency map during free viewing of natural dynamic video","White BJ, Berg DJ, Kan JY, Marino RA, Itti L, Munoz DP.","Nat Commun. 2017 Jan 24;8:14263. doi: 10.1038/ncomms14263.","White BJ","Nat Commun","2017","2017/01/25","PMC5286207","","10.1038/ncomms14263"
"34838750","High-resolution mapping and digital atlas of subcortical regions in the macaque monkey based on matched MAP-MRI and histology","Saleem KS, Avram AV, Glen D, Yen CC, Ye FQ, Komlosh M, Basser PJ.","Neuroimage. 2021 Dec 15;245:118759. doi: 10.1016/j.neuroimage.2021.118759. Epub 2021 Nov 25.","Saleem KS","Neuroimage","2021","2021/11/28","PMC8815330","NIHMS1764673","10.1016/j.neuroimage.2021.118759"
"10762334","Bicuculline injections into the rostral and caudal motor thalamus of the monkey induce different types of dystonia","Guehl D, Burbaud P, Boraud T, Bioulac B.","Eur J Neurosci. 2000 Mar;12(3):1033-7. doi: 10.1046/j.1460-9568.2000.00999.x.","Guehl D","Eur J Neurosci","2000","2000/04/13","","","10.1046/j.1460-9568.2000.00999.x"
"7315601","Effects of peripherally and centrally administered serotonin on primate spinothalamic neurons","Willis WD.","Adv Exp Med Biol. 1981;133:105-23. doi: 10.1007/978-1-4684-3860-4_6.","Willis WD","Adv Exp Med Biol","1981","1981/01/01","","","10.1007/978-1-4684-3860-4_6"
"8543646","Patterns of thalamocortical degeneration after ablation of somatosensory cortex in monkeys","Chmielowska J, Pons TP.","J Comp Neurol. 1995 Sep 25;360(3):377-92. doi: 10.1002/cne.903600302.","Chmielowska J","J Comp Neurol","1995","1995/09/25","","","10.1002/cne.903600302"
"9841454","Long-term change of mind","Merzenich M.","Science. 1998 Nov 6;282(5391):1062-3. doi: 10.1126/science.282.5391.1062.","Merzenich M","Science","1998","1998/12/05","","","10.1126/science.282.5391.1062"
"113048","Experimental hemiballism in the monkey produced by unilateral kainic acid lesion in corpus Luysii","Hammond C, Feger J, Bioulac B, Souteyrand JP.","Brain Res. 1979 Aug 10;171(3):577-80. doi: 10.1016/0006-8993(79)91066-7.","Hammond C","Brain Res","1979","1979/08/10","","","10.1016/0006-8993(79)91066-7"
"10096608","Single axon analysis of pulvinocortical connections to several visual areas in the macaque","Rockland KS, Andresen J, Cowie RJ, Robinson DL.","J Comp Neurol. 1999 Apr 5;406(2):221-50. doi: 10.1002/(sici)1096-9861(19990405)406:2<221::aid-cne7>3.0.co;2-k.","Rockland KS","J Comp Neurol","1999","1999/03/30","","","10.1002/(sici)1096-9861(19990405)406:2<221::aid-cne7>3.0.co;2-k"
"111168","Projection of precentral motor cortex upon nucleus medialis dorsalis thalami in the monkey","Akert K, Monakow KH, Künzle H.","Neurosci Lett. 1979 Feb;11(2):103-6. doi: 10.1016/0304-3940(79)90110-1.","Akert K","Neurosci Lett","1979","1979/02/01","","","10.1016/0304-3940(79)90110-1"
"32965147","Frequency-dependent spike-pattern changes in motor cortex during thalamic deep brain stimulation","Bello EM, Agnesi F, Xiao Y, Dao J, Johnson MD.","J Neurophysiol. 2020 Nov 1;124(5):1518-1529. doi: 10.1152/jn.00198.2020. Epub 2020 Sep 23.","Bello EM","J Neurophysiol","2020","2020/09/23","PMC8356778","","10.1152/jn.00198.2020"
"12483689","Somatosensory input to the ventrolateral thalamic region in the macaque monkey: potential substrate for parkinsonian tremor","Stepniewska I, Sakai ST, Qi HX, Kaas JH.","J Comp Neurol. 2003 Jan 13;455(3):378-95. doi: 10.1002/cne.10499.","Stepniewska I","J Comp Neurol","2003","2002/12/17","","","10.1002/cne.10499"
"18539394","Ultrastructural localization of calcyon in the primate cortico-basal ganglia-thalamocortical loop","Négyessy L, Bergson C, Garab S, Simon L, Goldman-Rakic PS.","Neurosci Lett. 2008 Jul 25;440(1):59-62. doi: 10.1016/j.neulet.2008.05.047. Epub 2008 May 17.","Négyessy L","Neurosci Lett","2008","2008/06/10","","","10.1016/j.neulet.2008.05.047"
"17978029","Dissociable performance on scene learning and strategy implementation after lesions to magnocellular mediodorsal thalamic nucleus","Mitchell AS, Baxter MG, Gaffan D.","J Neurosci. 2007 Oct 31;27(44):11888-95. doi: 10.1523/JNEUROSCI.1835-07.2007.","Mitchell AS","J Neurosci","2007","2007/11/06","PMC2241732","UKMS1490","10.1523/JNEUROSCI.1835-07.2007"
"7507789","Electron microscopic evidence that cortical terminals make direct contact onto cells of the thalamic reticular nucleus in the monkey","Williamson AM, Ohara PT, Ralston HJ 3rd.","Brain Res. 1993 Dec 17;631(1):175-9. doi: 10.1016/0006-8993(93)91207-9.","Williamson AM","Brain Res","1993","1993/12/17","","","10.1016/0006-8993(93)91207-9"
"4207413","Mechanisms for control of neural activity of the cerebral association cortex. I. The occurrence of augmenting potentials in the frontal granular cortex during stimulations of the nucleus medialis dorsalis","Desiraju T.","Neurol India. 1973 Dec;21(4):145-51.","Desiraju T","Neurol India","1973","1973/12/01","","",""
"6858399","[Neuronal activity of the medial group of thalamic nuclei in the monkey during conditioned reflex activity]","Orlov AA, Peskov SD, Shefer VI, Shutov AP.","Zh Vyssh Nerv Deiat Im I P Pavlova. 1983 Mar-Apr;33(2):375-7.","Orlov AA","Zh Vyssh Nerv Deiat Im I P Pavlova","1983","1983/03/01","","",""
"7023614","Neurobiology of primate audio-vocal behavior","Ploog D.","Brain Res. 1981 Aug;228(1):35-61. doi: 10.1016/0165-0173(81)90011-4.","Ploog D","Brain Res","1981","1981/08/01","","","10.1016/0165-0173(81)90011-4"
"1782542","The magnocellular and parvocellular divisions of the monkey subthalamic nucleus as revealed by cluster analysis of neuronal sizes","Fisher JE, Pasik P, Pasik T.","Brain Res. 1991 Sep 6;558(2):209-16. doi: 10.1016/0006-8993(91)90770-v.","Fisher JE","Brain Res","1991","1991/09/06","","","10.1016/0006-8993(91)90770-v"
"4999902","Changes in the numbers of neurons and glial cells in the lateral geniculate nucleus of the monkey during retrograde cell degeneration","Mihailović LT, Cupić D, Dekleva N.","J Comp Neurol. 1971 Jun;142(2):223-9. doi: 10.1002/cne.901420207.","Mihailović LT","J Comp Neurol","1971","1971/06/01","","","10.1002/cne.901420207"
"33443074","Contribution of the Pulvinar and Lateral Geniculate Nucleus to the Control of Visually Guided Saccades in Blindsight Monkeys","Takakuwa N, Isa K, Onoe H, Takahashi J, Isa T.","J Neurosci. 2021 Feb 24;41(8):1755-1768. doi: 10.1523/JNEUROSCI.2293-20.2020. Epub 2020 Dec 18.","Takakuwa N","J Neurosci","2021","2021/01/14","PMC8115889","","10.1523/JNEUROSCI.2293-20.2020"
"14128848","THE EFFECT OF PENTOBARBITAL ON EVOKED POTENTIALS IN BRAIN OF MACACA MULATTA","FELDMAN S, WAGMAN IH.","Electroencephalogr Clin Neurophysiol. 1963 Oct;15:747-60. doi: 10.1016/0013-4694(63)90165-2.","FELDMAN S","Electroencephalogr Clin Neurophysiol","1963","1963/10/01","","","10.1016/0013-4694(63)90165-2"
"4206300","An electron microscope study of the termination of afferent connections to the primate motor cortex","Sloper JJ.","J Neurocytol. 1973 Dec;2(4):361-8. doi: 10.1007/BF01103794.","Sloper JJ","J Neurocytol","1973","1973/12/01","","","10.1007/BF01103794"
"221067","Suppression of nociceptive responses in the primate by electrical stimulation of the brain or morphine administration: behavioral and electrophysiological comparisons","Hayes RL, Price DD, Ruda M, Dubner R.","Brain Res. 1979 May 11;167(2):417-21. doi: 10.1016/0006-8993(79)90838-2.","Hayes RL","Brain Res","1979","1979/05/11","","","10.1016/0006-8993(79)90838-2"
