INDEX,MACAQUE_COUNT_IN_500,OTHER_SPIECIES_COUNT_IN_500,TC_CT_COUNT_IN_500,THALAM_COUNT_IN_500,CORTEX_COUNT_IN_500,INJECT_COUNT_IN_500,METHOD_COUNT_IN_500,CONNECT_COUNT_IN_500,RELEVANCE_INDEX
2145,0,4,1,1,24,0,1,3,26.315876334660608
5421,0,4,2,6,12,0,0,1,26.31557597612647
355,0,7,1,27,10,0,0,0,26.308843360392377
1621,2,8,0,1,15,0,0,16,26.299451688792814
1655,1,0,0,7,10,0,0,3,26.283353142955047
2655,0,3,2,2,23,0,0,4,26.27731136689995
2081,1,0,0,12,4,0,0,2,26.270931283779664
2546,1,0,0,11,0,0,0,9,26.263760333521592
2629,1,3,0,6,2,2,0,2,26.260851076437227
708,1,4,1,6,2,0,0,1,26.259722563057423
4222,8,3,0,0,16,0,0,0,26.25237810035474
4231,8,3,0,1,2,0,0,0,26.24891189237825
1684,0,5,0,3,2,0,2,13,26.240231789234493
1595,2,3,1,1,7,0,0,1,26.235360858999893
1724,0,0,1,2,23,0,0,11,26.235360858999893
2804,0,3,0,7,0,0,2,7,26.235360858999893
1235,0,0,0,18,9,0,0,9,26.23512036080243
2434,1,0,0,2,11,0,0,18,26.227663486015324
10,4,0,0,4,0,0,0,1,26.22101022819134
1356,2,0,0,4,6,0,0,2,26.22096961296656
10799,1,0,0,0,0,1,2,4,26.211644332382576
3228,2,0,0,7,0,0,0,4,26.211644332382576
8030,1,1,0,3,14,1,0,3,26.21051581900278
4343,4,3,0,1,2,0,0,6,26.208775690522994
549,0,5,0,9,26,0,0,26,26.20035032576382
3274,0,2,0,6,10,0,1,6,26.19593125497059
7996,4,2,0,0,9,0,0,8,26.192610753669644
1608,5,1,0,2,0,1,0,0,26.18324485786088
9507,0,1,2,5,3,0,0,3,26.18324485786088
4404,1,15,0,9,5,0,0,9,26.16308276576815
378,0,18,0,12,30,0,0,22,26.154764864898983
4208,6,3,0,0,19,0,0,1,26.143713218221052
4492,8,1,0,0,3,0,0,1,26.13112885672187
8869,15,4,0,0,0,0,0,0,26.116449309963716
1961,0,3,0,15,21,0,0,11,26.113454106159647
2440,0,0,0,15,19,0,0,7,26.0927327833464
5290,2,1,0,1,14,0,0,9,26.08256729010744
3714,0,1,1,4,7,1,0,3,26.06901625672908
6707,0,1,0,18,12,0,0,9,26.066701709177465
3293,2,0,0,7,1,0,0,2,26.065461822204497
1418,3,0,0,1,4,2,0,0,26.04061678220738
1362,1,0,0,5,6,0,0,7,26.02041407488986
7684,2,0,0,1,28,0,0,4,26.014764186756075
1993,1,1,0,5,11,0,0,6,26.00466571792172
9376,0,0,0,0,15,0,3,8,25.99979478768713
3553,1,0,1,1,26,0,0,1,25.99979478768713
4955,1,1,0,5,6,0,0,9,25.996697548272547
6095,1,1,0,0,9,0,2,3,25.98850078106837
2286,1,10,0,11,0,0,1,1,25.96902312902037
1103,0,1,2,7,13,0,0,0,25.96829807375085
847,2,1,0,4,15,0,0,1,25.96478425445105
8700,1,3,0,10,5,0,0,4,25.946486484229823
9609,1,1,0,8,6,0,0,4,25.94458154713353
2818,2,0,0,4,0,0,0,9,25.941067727833737
3942,3,2,0,3,7,0,0,1,25.93412775316976
6005,0,2,1,1,3,0,3,0,25.93412775316976
4251,6,2,0,0,2,0,0,5,25.9329921869054
1532,0,0,2,4,5,0,0,2,25.91266825331204
2359,0,0,0,13,10,0,0,13,25.90824918251881
464,0,0,0,3,1,0,2,8,25.895562785409098
201,0,8,0,24,10,0,0,10,25.88663091099664
4087,0,0,0,21,22,0,0,3,25.885083782009552
7202,0,0,0,11,12,0,0,15,25.87219813058242
3826,2,4,0,6,1,0,0,5,25.86780848832762
5601,1,12,1,2,17,0,0,2,25.867636078874572
2739,1,2,0,11,3,0,0,4,25.85829522541343
3660,0,2,0,1,1,3,2,3,25.829895750891733
52,4,0,0,6,0,0,0,0,25.82392986961757
1881,0,3,1,4,19,0,0,7,25.822156178797552
10419,1,1,0,10,2,0,0,5,25.800303974051744
5519,1,0,0,2,21,0,0,10,25.800303974051744
2194,1,4,0,5,13,0,0,7,25.79727052357565
1067,0,4,0,14,0,0,3,0,25.793756704275857
10747,0,0,0,1,2,2,1,12,25.78234180146056
10343,2,2,0,11,1,0,0,1,25.777779749752717
4654,5,2,0,0,0,5,0,0,25.77777974975271
1786,0,0,0,10,20,0,0,12,25.77336931182331
3120,1,3,0,7,16,0,0,3,25.767694924350845
4080,0,14,0,6,24,0,1,5,25.766002407194375
1442,7,0,0,0,11,0,0,0,25.76422871637436
436,3,0,0,0,11,0,1,0,25.76422871637436
4125,5,10,0,0,0,0,1,2,25.74700809108596
4352,4,2,0,0,7,0,0,8,25.746323651041223
1487,0,6,2,3,8,0,0,5,25.741412105581844
7493,0,0,0,0,5,1,2,12,25.73022580032154
410,3,13,0,5,1,0,0,3,25.727861072203485
9534,0,1,0,1,1,0,3,12,25.716674766943186
2110,0,2,1,2,18,0,0,16,25.71443895077342
1985,1,1,1,2,11,0,0,1,25.712112715235342
3613,1,0,0,2,23,0,1,0,25.712112715235342
1096,0,4,0,18,5,0,1,1,25.7071892691335
2731,0,0,0,13,22,0,0,7,25.704599704974097
3566,2,13,0,13,0,0,0,3,25.701235288501803
5781,14,3,0,0,0,0,0,0,25.69420764990221
5339,1,4,0,0,2,0,4,1,25.69307913652241
3848,1,5,0,3,4,1,1,0,25.687267675238232
4554,4,5,0,0,15,0,0,6,25.68552754675845
1777,0,0,0,12,5,0,0,21,25.681393085838742
8964,1,0,0,2,12,0,0,14,25.678582567169705
6160,2,2,0,4,5,0,0,3,25.67710218199927
8794,1,6,1,2,11,0,0,2,25.675745071064476
3602,3,0,0,6,0,0,0,1,25.671935898155304
6353,5,0,0,0,16,0,0,1,25.663462922072817
2728,1,3,0,2,2,2,1,0,25.659996714096334
9233,0,2,0,0,0,1,4,10,25.65518855686773
5343,1,0,0,6,7,0,0,4,25.64821937153799
6770,3,0,0,0,3,3,0,1,25.64644568071797
10169,1,2,0,4,0,0,1,4,25.6398346220036
2542,4,1,0,0,8,0,0,6,25.633411545619435
3915,1,6,0,4,5,0,1,1,25.62718350445004
10902,1,0,0,0,0,0,3,4,25.62272915410066
5605,5,0,0,2,2,0,0,0,25.607880712957314
190,1,7,0,26,2,0,0,1,25.607880712957314
855,1,0,0,11,7,0,0,1,25.59432967957896
5720,1,1,0,5,3,1,0,3,25.59432967957896
6216,7,3,0,0,21,0,0,0,25.5902059623951
4066,0,1,0,21,19,0,0,4,25.58184337064192
9510,2,1,0,0,22,0,1,1,25.574877485258742
3472,8,5,0,0,0,0,0,5,25.555764711818306
2895,2,1,0,8,2,0,0,1,25.555764711818306
6826,2,1,0,3,1,0,1,0,25.54221367843995
400,2,0,0,0,13,0,0,21,25.537364905986564
5181,3,2,0,0,25,0,0,7,25.518849023613267
471,0,0,0,16,7,0,0,10,25.518635622035863
3536,0,0,0,10,0,0,1,8,25.512621901599964
8723,9,5,0,0,2,0,0,1,25.51075757972846
2912,2,4,0,12,0,0,0,2,25.49726862755901
620,1,1,0,3,20,0,0,7,25.497165931125316
843,2,0,0,3,0,2,0,1,25.490097677300938
9417,0,1,0,0,4,1,2,16,25.47722746595773
7824,0,0,0,0,7,0,3,11,25.47654664392258
8429,1,3,0,4,11,0,0,9,25.4699355852082
3572,0,1,1,3,24,0,0,6,25.4452785275413
6157,0,2,1,14,3,0,0,2,25.441536110686503
2949,2,1,0,8,0,0,0,3,25.43798167616192
432,1,0,0,10,4,0,0,2,25.435660860463837
3616,2,0,0,2,10,0,0,3,25.43385795897806
3782,0,4,3,4,12,0,0,0,25.43059397585838
2025,0,2,0,2,18,0,2,3,25.42833308304609
4465,5,9,0,0,4,0,0,8,25.42555915616336
2787,0,0,1,12,16,0,0,0,25.42264528101957
2184,0,5,0,16,12,0,0,13,25.42137795482187
1479,0,1,1,2,15,0,0,14,25.40071411616625
7025,3,0,0,1,19,0,0,1,25.39958560278645
4059,1,2,0,0,0,1,4,0,25.392974544072075
1558,2,7,0,2,0,0,2,0,25.38586567502291
815,1,0,1,9,0,0,0,0,25.37586907616914
3784,1,3,0,4,1,1,1,0,25.37586907616913
1784,1,0,0,16,2,0,0,1,25.374204644896587
9048,1,1,0,5,10,0,0,5,25.36819092446069
8117,1,6,0,0,12,0,1,15,25.36469834378601
682,0,4,0,13,13,0,0,16,25.36360342704136
1446,3,2,0,3,5,0,0,1,25.358763608266194
1587,4,9,0,2,3,0,0,2,25.35328106293161
2056,0,6,0,6,8,0,1,7,25.34788618153265
7953,9,7,0,0,8,0,0,0,25.340858542933063
8916,3,11,0,0,13,0,0,17,25.32726689432992
4074,8,6,0,0,4,0,0,1,25.32465299085492
60,1,0,0,14,3,0,0,1,25.32375307503012
3306,0,0,0,16,5,2,0,1,25.32208864375757
3173,2,0,0,5,0,0,0,5,25.320198640505534
996,2,0,0,4,22,0,0,0,25.3043008807099
6549,0,1,0,5,13,0,1,4,25.303550367712603
1536,2,3,0,1,4,0,1,1,25.295353600508424
1560,1,0,0,0,13,0,2,1,25.275150893190904
10267,0,6,0,1,0,0,5,6,25.2751508931909
7086,5,1,0,4,0,0,0,0,25.271637073891107
398,0,0,0,27,3,0,0,6,25.27134172028174
1058,1,0,0,14,10,0,0,0,25.267513356707244
691,0,0,0,17,6,0,0,9,25.251434366573587
5839,1,1,0,7,3,0,0,6,25.24585150284441
5506,3,2,0,0,1,0,1,3,25.24098057260981
7169,4,0,0,1,5,0,0,1,25.223075507276672
3115,0,0,0,10,32,0,0,7,25.22081611196432
8093,1,2,0,3,15,0,0,9,25.217264045992497
10452,0,0,0,3,0,4,1,2,25.20597003937374
1441,3,20,0,3,0,0,0,11,25.204612928438937
4147,3,4,0,2,7,0,0,2,25.20128709146936
3256,2,6,0,1,17,0,0,9,25.194447435199976
1461,1,7,1,3,8,0,0,1,25.1888645714708
8810,3,2,0,0,21,0,0,7,25.184740854286936
1938,0,2,0,13,18,0,0,10,25.179238136136178
1617,0,0,1,5,12,0,0,3,25.17905095002247
3055,1,0,0,5,12,0,0,3,25.17905095002247
1445,4,1,0,0,8,0,0,5,25.170959506137663
4766,7,12,0,0,0,0,1,0,25.16093786493628
1065,0,0,1,10,7,0,0,1,25.15927279463081
3307,1,0,0,4,5,0,0,8,25.153854038234723
434,2,1,0,0,28,0,0,14,25.15171796940073
4174,2,14,0,0,17,0,1,3,25.14917109033034
4482,2,1,0,5,18,0,0,0,25.140651010594308
1211,0,5,2,3,15,1,0,0,25.136748570331783
1622,2,11,0,3,15,0,0,3,25.136748570331783
3985,0,3,1,10,3,0,0,4,25.13555626801349
3410,1,0,0,12,0,0,0,5,25.131497000591303
364,4,1,0,6,0,0,0,0,25.130782689057625
6319,1,7,0,0,12,0,2,3,25.126934948883463
3446,2,0,0,4,3,0,0,2,25.10173803709571
1821,0,5,0,1,26,0,2,6,25.08950349942737
1274,7,6,0,1,3,0,0,0,25.086829892782557
1660,2,5,0,1,3,2,0,3,25.08463256919277
2553,0,1,2,3,17,0,0,1,25.08463256919277
492,5,1,0,0,17,0,0,1,25.08463256919277
6131,5,15,0,0,17,0,0,3,25.084632569192767
4840,1,3,0,1,2,0,3,0,25.07108153581441
1618,1,2,1,1,15,0,0,2,25.07108153581441
7743,1,6,0,0,3,1,1,9,25.06311336616524
3357,0,0,1,3,9,0,0,8,25.059787529195656
3774,2,0,0,10,0,0,0,1,25.055040792352784
8235,4,0,0,5,0,0,0,0,25.05317647048128
6300,3,6,0,5,0,0,0,3,25.034713891643538
673,0,4,1,8,6,0,0,4,25.02829081525937
3390,1,6,0,4,10,0,0,10,25.02222758270649
1785,1,0,1,1,8,0,0,2,25.0189655346754
8617,0,0,0,11,12,0,0,11,25.009151913227075
7082,0,0,0,0,1,0,6,3,25.00427893503269
3646,0,2,0,6,0,0,2,5,24.99233975097372
8039,0,4,1,4,1,3,0,2,24.982826488059526
4156,0,1,0,10,19,0,0,12,24.982641802924498
4538,0,1,1,6,3,0,0,7,24.97878871759536
1408,4,2,0,1,4,0,0,2,24.97621542934515
2281,0,9,0,12,0,1,2,0,24.97402048379446
1198,0,5,1,7,13,0,0,3,24.973917787360765
6060,5,1,0,0,5,0,0,3,24.966849533536383
994,0,0,0,19,9,0,0,5,24.95910996144221
6120,7,1,0,1,1,0,0,0,24.95329850015803
8127,0,1,0,0,1,1,7,0,24.95329850015803
1849,1,1,0,9,0,0,0,10,24.94493590840485
4248,0,0,2,3,2,0,0,4,24.94313300691907
1919,0,6,1,19,11,0,0,0,24.93403632389009
6318,2,4,0,4,14,0,0,1,24.91941648030176
2814,2,1,0,11,2,0,0,0,24.91473353239737
1599,2,3,0,1,8,0,0,11,24.91473353239737
4526,0,7,2,3,17,0,0,2,24.91473353239737
5480,0,1,0,7,16,0,0,23,24.904648706995506
2608,3,0,0,5,0,0,0,1,24.90118249901901
3451,2,0,0,2,5,0,0,4,24.891017005780057
19,2,1,0,13,1,0,0,0,24.874556715317336
1032,3,10,0,3,8,0,0,1,24.870410840352264
2406,0,3,1,3,6,0,0,16,24.86810958035829
803,0,0,0,143,0,0,0,0,24.849066497880003
2208,1,0,0,11,2,0,0,2,24.849066497880003
396,2,3,0,7,3,0,0,1,24.849066497880003
1232,5,0,0,3,0,0,0,0,24.849066497880003
10975,0,5,0,0,0,3,3,6,24.84038639473624
1163,5,5,0,2,4,0,0,0,24.83777249126124
10077,1,0,0,0,12,0,1,6,24.83057277328792
6141,3,0,0,0,12,0,0,6,24.83057277328792
7355,0,4,2,2,12,0,0,4,24.827958869812925
513,2,2,0,5,6,0,0,1,24.817569783943725
3945,0,0,2,4,17,0,0,0,24.814055964643927
1485,0,2,1,7,13,0,0,2,24.80401875056537
4684,1,0,0,4,16,0,0,3,24.803971139242066
3653,1,1,0,6,0,0,0,18,24.80119230781539
3903,0,1,2,2,15,1,0,0,24.79695049674099
1986,0,3,1,3,8,0,0,13,24.78827039359723
809,2,0,0,0,12,0,0,17,24.787136875292664
4796,0,0,1,3,15,0,0,5,24.783399463362635
1667,1,0,0,1,7,0,1,2,24.783399463362635
1691,1,5,0,3,30,0,0,6,24.776888998107083
1537,1,0,1,2,14,0,0,0,24.77210545674388
300,0,2,0,13,11,0,0,12,24.7613357313688
298,1,2,0,14,0,0,0,5,24.74838893012656
4868,6,0,0,0,13,0,0,0,24.73721614978365
2662,1,1,0,5,7,0,0,5,24.731283462223622
6014,1,8,0,0,0,0,5,1,24.73128346222361
2930,0,15,1,12,5,0,0,3,24.72603189248314
3018,5,5,0,0,1,0,0,10,24.70581540256749
2966,0,7,0,15,10,0,0,14,24.703443218422443
9348,0,2,0,0,13,0,2,23,24.699786748287345
1268,2,0,0,9,2,0,0,0,24.696272928987547
2527,1,4,0,2,21,0,0,12,24.692028315607143
3854,0,1,1,6,6,0,0,4,24.688009405729
3964,0,0,1,7,6,1,0,0,24.686235714908985
2041,1,1,0,0,13,0,1,7,24.686235714908985
174,0,2,0,22,13,0,0,4,24.68528718751045
6857,2,6,0,2,4,0,1,0,24.683621811433987
1325,14,10,0,0,0,0,0,0,24.682606738223733
2956,2,2,0,7,8,0,0,0,24.679167461084607
5367,0,3,1,4,6,0,0,10,24.67787312315581
5801,10,1,0,0,1,0,0,0,24.67209990854365
4856,3,2,0,0,5,0,0,15,24.665616427706247
6641,1,7,0,0,3,0,1,28,24.65797828171827
9724,1,2,0,0,12,1,1,2,24.655802806257924
9130,0,0,0,6,5,2,0,6,24.64386157423916
1263,2,0,0,1,10,0,0,5,24.62292774276173
6774,4,2,0,0,10,0,0,4,24.619871118571936
3470,1,5,0,5,23,0,0,3,24.613500426567235
1944,0,0,0,16,9,0,0,6,24.608967353435112
3082,1,1,0,10,2,0,0,3,24.583908649727253
4090,2,1,0,1,19,0,0,4,24.57848989333116
7624,2,9,0,5,0,0,1,0,24.573806945426774
3489,2,8,0,2,10,2,0,0,24.57081174162272
4808,1,3,0,0,2,0,2,6,24.56625535566282
2071,2,0,0,1,13,0,0,4,24.558287186013644
6658,3,1,0,0,1,0,0,27,24.552704322284463
1144,0,0,0,12,18,0,0,6,24.551355192806504
1338,3,5,0,3,1,0,0,3,24.547833392049867
7299,6,5,0,0,5,0,0,2,24.546697825785515
2118,2,1,0,1,5,0,0,10,24.535916365772103
3079,1,0,0,2,28,0,0,5,24.534403316597118
2119,0,3,2,2,13,0,0,3,24.529887711491945
1353,2,0,0,4,2,0,0,2,24.526373892192147
4299,0,0,2,4,2,0,0,2,24.526373892192147
2555,2,0,0,4,2,0,0,2,24.526373892192147
934,5,2,0,2,2,0,0,0,24.509268424289207
1827,0,0,0,9,7,0,0,18,24.505125485829225
9391,3,1,0,2,0,0,0,6,24.50058832114545
575,2,0,0,1,18,0,0,3,24.49961983117338
6844,0,5,0,11,0,0,3,0,24.49571739091085
6223,0,5,0,3,0,2,3,0,24.49571739091085
1095,0,3,1,10,3,0,0,3,24.46612561407087
3003,3,3,0,10,0,0,0,0,24.46612561407087
3186,0,7,0,2,0,1,2,8,24.4571524231502
972,0,0,1,5,8,0,0,3,24.44360138977184
665,5,2,0,1,7,0,0,0,24.443601389771835
8806,1,0,0,0,15,1,0,16,24.44202518504739
8807,0,0,0,3,4,0,2,2,24.43230738315308
7245,6,5,0,1,0,0,0,2,24.42891479012913
9648,1,2,0,0,3,0,2,4,24.41988486315452
4757,4,0,0,0,1,0,1,0,24.412145291060348
3010,0,0,0,6,21,0,0,16,24.411275684161847
9104,1,1,0,2,24,0,0,7,24.407462343155967
7389,0,6,1,9,9,0,0,2,24.39949417350679
2497,2,2,0,11,0,0,0,1,24.391485388632823
1500,5,2,0,2,0,0,0,1,24.391485388632823
3685,0,0,0,19,0,0,0,22,24.3851440155574
3604,3,1,0,1,16,0,0,1,24.381400563230955
5371,2,0,0,2,9,0,0,2,24.38019138201407
544,0,2,1,15,1,0,0,2,24.37793435525447
4149,1,0,1,3,5,0,0,0,24.377934355254467
4338,3,2,0,1,3,0,0,5,24.377934355254467
3599,0,0,0,9,22,0,0,8,24.375587628837188
2049,0,0,1,1,25,0,0,11,24.368120733806144
1740,1,3,1,1,12,0,0,2,24.368120733806144
1999,0,1,1,1,19,0,0,17,24.36664034863571
537,0,10,1,19,3,0,0,1,24.364268164490653
8484,4,1,0,5,0,0,0,0,24.36002928992133
7402,3,3,0,0,11,0,0,9,24.354217828637157
4472,2,2,0,0,0,1,2,0,24.33936938749381
1904,0,0,2,2,17,0,0,1,24.33936938749381
6269,2,2,0,8,0,1,0,0,24.33936938749381
3716,2,2,0,17,0,0,0,0,24.33936938749381
2175,0,5,0,14,12,0,0,11,24.333110200570072
2523,0,8,1,5,10,0,0,6,24.32656556716619
1908,1,1,0,1,2,2,1,0,24.32581835411546
3562,1,1,0,1,2,2,1,0,24.32581835411546
4467,0,1,1,2,23,0,0,7,24.32581835411545
9777,0,0,1,2,12,1,0,2,24.31600473266713
3238,1,1,0,3,4,0,0,13,24.305844244352933
4950,0,1,1,2,16,0,0,9,24.30556803547463
2742,2,1,0,6,2,0,0,1,24.29919257041377
1694,1,2,0,2,13,0,0,12,24.29888369188702
1477,4,13,0,1,4,0,0,3,24.29881660575334
5008,2,3,0,0,2,1,1,1,24.273702352976443
4585,0,2,0,3,16,0,1,6,24.26848845780917
6030,0,0,1,4,12,0,0,3,24.2674431660527
5038,5,13,0,0,7,0,0,4,24.26573418332726
3092,3,0,0,7,0,0,0,0,24.260151319598087
5483,2,0,0,2,16,0,0,1,24.22505255981391
6470,0,0,2,2,16,0,0,1,24.22505255981391
8268,1,1,0,1,2,0,1,5,24.208035318459075
3735,1,0,1,5,1,0,0,0,24.20803531845907
229,3,0,0,5,1,0,0,0,24.20803531845907
2822,0,1,0,3,10,0,1,7,24.20391160127521
1865,1,0,0,3,21,0,0,3,24.20391160127521
6841,0,5,0,1,9,0,5,0,24.196741311840317
8985,4,0,0,0,10,0,0,2,24.186006535942077
9482,4,3,0,0,21,0,0,2,24.186006535942077
4007,3,0,0,0,2,0,0,14,24.184318791841758
4658,5,2,0,0,6,1,0,0,24.17653860452279
5670,8,2,0,0,0,0,0,2,24.16947035069841
2586,0,0,0,3,0,0,2,7,24.15591931732006
8499,2,1,0,0,15,0,0,15,24.155919317320052
4002,2,1,0,0,7,1,0,7,24.155919317320052
2436,0,0,0,5,3,11,0,0,24.155919317320052
799,7,8,0,0,15,0,0,0,24.142368283941703
8166,1,1,0,1,12,1,0,6,24.13742559272797
1164,0,1,0,18,13,0,0,4,24.13547611180508
1776,1,1,0,1,14,0,1,1,24.13107427732294
1380,0,0,0,12,8,0,0,9,24.12695122096226
1349,4,1,0,2,4,0,0,0,24.113169211989806
8664,0,1,0,2,17,0,1,8,24.103803316181043
5671,5,7,0,0,11,0,0,2,24.103803316181043
2552,0,2,0,5,0,1,1,6,24.095123213037283
3961,1,0,0,1,0,1,1,2,24.090252282802687
5518,1,1,0,0,15,0,1,5,24.090252282802687
5678,6,9,0,0,0,3,0,0,24.087988203158535
10583,0,4,0,0,0,0,6,7,24.087988203158535
7056,0,3,2,2,7,0,0,4,24.08008678956373
9975,0,1,0,2,1,0,2,9,24.08008678956373
9635,2,1,0,2,1,0,0,9,24.08008678956373
3968,0,1,1,6,10,0,0,2,24.059502781917143
1960,0,7,2,2,23,0,0,2,24.05168731504203
5440,2,4,0,0,5,0,1,3,24.050558801662238
2108,0,5,0,17,15,0,0,6,24.04300721189827
3571,1,2,0,5,8,0,0,4,24.014419755046355
2816,1,0,0,5,0,0,0,14,24.014419755046355
10048,3,4,0,0,0,0,1,4,24.01329124166656
2457,1,1,0,7,4,0,0,3,24.01329124166656
2305,1,0,0,2,8,0,0,10,24.012668222007555
4424,1,2,0,0,0,0,4,1,24.00668018295218
7766,4,1,0,0,4,0,0,5,23.995386176333422
2997,0,0,0,4,0,0,3,1,23.989574715049244
8799,10,0,0,0,0,0,0,0,23.978952727983707
10872,0,3,0,0,1,0,10,0,23.978952727983707
4598,4,6,0,0,16,0,0,3,23.973778746757795
1810,0,7,1,1,14,0,1,2,23.96117524052755
1843,0,3,0,2,6,0,3,1,23.940972533210022
7147,0,1,0,22,10,0,0,3,23.93899752804222
5711,3,1,0,0,7,0,0,8,23.92035324600729
8517,0,4,0,4,1,0,4,0,23.918425135197296
3759,0,0,1,3,18,0,0,3,23.910704652891457
2577,0,0,0,12,6,0,0,10,23.910252903813426
4407,2,3,0,0,4,0,1,3,23.909059239388533
2225,1,1,0,2,11,0,0,10,23.894885186351168
798,0,0,0,21,2,0,0,7,23.890761469167305
10777,0,1,0,0,2,1,2,13,23.87310817510287
8367,0,0,0,0,15,1,1,13,23.859557141724515
3845,1,1,0,7,1,0,0,6,23.859557141724515
4667,6,2,0,0,2,0,0,2,23.853550645225567
6142,2,2,0,3,2,0,0,4,23.84452071825096
2989,1,0,0,2,26,0,0,4,23.84452071825096
1713,0,10,1,12,8,0,0,1,23.83221401646104
94,0,0,0,19,15,0,0,2,23.819675678253844
8271,0,5,2,2,11,0,0,3,23.816121243729267
3123,1,0,0,7,8,0,0,1,23.802570210350908
1204,4,0,0,2,2,0,0,0,23.78466514501777
3129,1,0,0,2,7,0,0,10,23.777102150694787
6009,0,11,0,1,3,0,5,1,23.75045420921189
1176,2,2,0,3,0,0,1,0,23.75045420921189
213,0,12,0,20,0,0,1,3,23.748017720114703
3336,0,2,1,5,10,0,0,3,23.746330492028036
4313,6,2,0,0,0,0,0,5,23.735767609569187
1726,0,3,0,7,18,0,0,18,23.733108243111488
6297,0,3,0,2,8,1,1,4,23.72673768259457
1813,0,0,0,5,43,0,0,10,23.72086243237191
1080,0,1,0,17,12,0,0,4,23.71692406114625
3563,2,0,0,4,1,0,0,2,23.71544367597582
524,0,2,0,13,7,0,0,11,23.710277392131857
2995,1,0,0,13,5,0,0,0,23.710277392131854
1735,4,8,0,0,4,0,0,8,23.707704103881643
3688,2,9,0,12,2,0,0,0,23.70550915833095
4890,0,0,0,2,1,0,2,6,23.70320913830748
1412,2,0,0,2,1,0,0,6,23.703209138307475
292,0,1,1,16,0,0,0,2,23.70022821132492
8306,2,2,0,2,1,3,0,0,23.698338208072883
5531,3,0,0,0,4,0,0,8,23.673493168075765
5394,1,1,0,1,12,0,0,18,23.66727618026163
1301,4,1,0,2,3,0,0,0,23.66688210936139
2149,1,0,0,4,0,0,0,17,23.64977664145845
2162,0,2,1,2,14,0,0,9,23.64977664145845
4883,0,1,1,4,3,0,0,8,23.64977664145845
584,2,5,0,2,5,0,0,5,23.64622220693387
4669,0,5,0,5,0,2,2,0,23.646222206933867
2792,2,2,0,2,11,0,0,2,23.646222206933867
3070,0,0,0,0,7,0,2,16,23.64464600220942
3269,2,0,0,4,9,0,0,0,23.63848263483969
3117,1,0,0,3,8,0,0,5,23.632671173555508
8920,0,0,0,0,0,0,6,3,23.617984573912803
5924,1,1,0,2,11,0,0,9,23.608954646938194
8735,3,2,0,1,4,0,0,3,23.607826133558397
4772,0,1,2,6,5,0,0,0,23.606045389853826
9531,0,2,0,0,20,1,2,3,23.601174459619237
1664,0,2,2,4,5,0,0,1,23.597660640319432
9149,0,4,0,4,0,0,3,2,23.59653212693964
4481,0,7,0,0,14,0,4,3,23.58992106822526
4555,0,2,0,4,3,0,3,0,23.58410960694108
5910,1,2,0,3,19,0,0,4,23.58410960694108
1358,2,0,0,0,16,0,1,0,23.584021380392983
8333,1,0,0,1,19,0,0,10,23.58235807390227
295,1,0,0,2,8,1,0,2,23.580555172416496
2839,1,0,0,7,7,0,0,1,23.56700413903814
2620,1,0,0,7,3,1,0,0,23.56700413903814
2599,1,1,0,7,0,0,1,0,23.56700413903814
9923,3,2,0,0,41,0,0,2,23.535507425101866
3624,0,1,0,1,11,1,1,5,23.514888137899128
2928,0,0,0,11,0,0,1,3,23.514888137899128
5876,3,0,0,2,7,0,0,0,23.514888137899128
10507,1,3,0,5,0,0,1,1,23.514888137899124
5407,1,1,0,0,21,0,1,3,23.510764420715265
4195,0,0,1,1,10,0,0,15,23.51076442071526
1514,0,2,0,9,11,0,0,14,23.50827707918475
6329,1,0,0,1,25,0,0,8,23.5050745164508
3632,4,3,0,2,0,0,0,2,23.49698307256599
5358,1,4,0,0,0,0,4,1,23.495854559186192
9883,1,7,0,0,10,0,1,9,23.487047894097948
1328,3,0,0,0,10,0,0,4,23.487047894097948
932,1,3,0,18,4,0,0,0,23.48624816517996
2410,0,5,0,4,7,0,2,1,23.47987760466305
860,0,5,0,16,22,0,0,4,23.473609420213627
8307,4,1,0,1,9,0,0,0,23.47213803256888
1294,4,3,0,1,4,0,0,1,23.47213803256887
7054,11,3,0,0,0,0,0,0,23.462772136760112
5977,5,1,0,1,3,0,0,0,23.462772136760112
6612,5,0,0,1,0,0,0,1,23.46277213676011
6097,0,0,0,0,13,0,4,1,23.451935325251355
8851,0,3,0,15,12,0,0,6,23.44427841216803
443,2,4,0,0,49,0,0,7,23.4390556101428
6650,2,0,0,1,7,0,0,4,23.439055610142795
7177,5,3,0,0,0,0,0,9,23.439055610142795
1806,1,0,0,3,14,0,0,3,23.437927096763
10144,0,6,0,1,6,0,3,3,23.433472746413617
7333,1,11,0,1,13,0,1,2,23.41772438944548
8076,2,9,0,4,9,0,0,1,23.41533908352548
677,2,0,0,1,5,0,0,5,23.410656135621103
3763,1,0,0,2,0,0,2,0,23.4106561356211
2734,2,0,0,11,0,0,0,0,23.4106561356211
2733,5,0,0,2,0,0,0,0,23.410656135621096
1878,1,4,0,1,2,2,1,0,23.409527622241303
6793,2,0,0,1,10,0,0,3,23.40653241843724
1439,1,0,1,1,3,0,0,2,23.397105102242744
8013,1,1,0,7,0,1,0,2,23.39710510224274
1666,1,5,0,2,25,0,0,7,23.387291480794417
675,0,6,1,14,3,0,0,1,23.377842925974807
